"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4075","foo: VALUE 6","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4275","foo: VALUE 26","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4127","foo: VALUE 32","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","744","TC-CHKOUT-001 Checkout process","","2026-05-29","passed","2026-05-29","Checkout","checkout.spec.ts","",""
"","7171","foo: VALUE 1","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4400","foo: VALUE 30","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4905","foo: VALUE 4","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","1299","TC-CART-004 Add all items to cart by each one","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","4025","foo: VALUE 23","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4308","foo: VALUE 2","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4303","foo: VALUE 22","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4053","foo: VALUE 27","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3928","foo: VALUE 14","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","734","TC-CART-002 Remove item from cart","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","4007","foo: VALUE 24","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4147","foo: VALUE 25","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3897","foo: VALUE 18","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4039","foo: VALUE 20","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4183","foo: VALUE 21","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4596","foo: VALUE 9","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","861","TC-CART-003 Add all items to cart at once","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","4240","foo: VALUE 34","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4433","foo: VALUE 19","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","771","TC-CART-001 Add item to cart","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","3875","foo: VALUE 15","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4192","foo: VALUE 10","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4347","foo: VALUE 5","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4602","foo: VALUE 3","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3997","foo: VALUE 13","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3893","foo: VALUE 17","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4527","foo: VALUE 28","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4177","foo: VALUE 16","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4215","foo: VALUE 29","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4145","foo: VALUE 33","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4704","foo: VALUE 12","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","651","TC-CART-005 Random Item title checking","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","4249","foo: VALUE 8","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4241","foo: VALUE 7","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4385","foo: VALUE 31","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4090","foo: VALUE 11","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
